Program Name,Department,GPA,GRE Score,TOEFL Score,Admission Accepted
Environmental Engineering,Civil & Environmental Engineering,3.59,324,103,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.95,322,105,No
Cybersecurity,Information Systems,3.16,306,104,Yes
Cybersecurity,Information Systems,3.62,340,94,No
Cybersecurity,Information Systems,3.77,337,91,Yes
Health Information Technology,Information Systems,3.66,292,101,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.48,332,92,No
Human-Centered Computing,Information Systems,3.51,291,113,No
Environmental Engineering,Civil & Environmental Engineering,3.88,293,108,No
Electrical Engineering,Electrical Engineering,3.67,323,117,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.4,297,88,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.42,319,110,Yes
Cybersecurity,Information Systems,3.61,339,98,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.79,303,82,Yes
Cybersecurity,Information Systems,3.72,306,101,No
Health Information Technology,Information Systems,3.87,293,120,Yes
Environmental Engineering,Civil & Environmental Engineering,3.79,304,112,Yes
Environmental Engineering,Civil & Environmental Engineering,3.55,331,111,Yes
Electrical Engineering,Electrical Engineering,3.85,335,111,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.89,312,87,No
Electrical Engineering,Electrical Engineering,3.26,329,106,Yes
Human-Centered Computing,Information Systems,3.93,300,103,Yes
Electrical Engineering,Electrical Engineering,3.26,308,103,Yes
Data Science,Information Systems,3.73,298,104,Yes
Cybersecurity,Information Systems,3.94,310,88,Yes
Engineering Management,Engineering Management,3.07,336,109,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.76,302,86,No
Computer Engineering,Computer Science & Electrical Engineering,3.64,326,103,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.45,338,97,Yes
Human-Centered Computing,Information Systems,3.73,333,109,Yes
Data Science,Information Systems,3.4,296,98,No
Electrical Engineering,Electrical Engineering,3.26,338,103,Yes
Electrical Engineering,Electrical Engineering,3.69,324,107,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.34,336,82,Yes
Engineering Management,Engineering Management,3.26,333,115,Yes
Health Information Technology,Information Systems,3.63,298,100,Yes
Human-Centered Computing,Information Systems,3.75,333,107,Yes
Computer Science,Computer Science,3.79,315,105,No
Data Science,Information Systems,3.52,327,106,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.61,329,100,Yes
Health Information Technology,Information Systems,3.82,329,90,Yes
Human-Centered Computing,Information Systems,3.93,301,110,Yes
Electrical Engineering,Electrical Engineering,3.55,291,116,Yes
Computer Science,Computer Science,3.82,290,113,No
Electrical Engineering,Electrical Engineering,3.25,330,113,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.82,328,108,Yes
Cybersecurity,Information Systems,3.19,326,93,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.81,323,82,No
Environmental Engineering,Civil & Environmental Engineering,3.52,293,114,Yes
Environmental Engineering,Civil & Environmental Engineering,3.58,333,100,Yes
Environmental Engineering,Civil & Environmental Engineering,3.58,339,119,Yes
Environmental Engineering,Civil & Environmental Engineering,3.87,324,104,Yes
Data Science,Information Systems,3.2,303,102,Yes
Environmental Engineering,Civil & Environmental Engineering,3.83,323,118,No
Human-Centered Computing,Information Systems,3.96,295,119,No
Electrical Engineering,Electrical Engineering,3.45,337,92,No
Health Information Technology,Information Systems,3.92,292,106,No
Data Science,Information Systems,3.69,329,107,Yes
Health Information Technology,Information Systems,3.79,319,105,Yes
Computer Science,Computer Science,3.98,294,113,Yes
Environmental Engineering,Civil & Environmental Engineering,3.54,323,114,Yes
Engineering Management,Engineering Management,3.11,325,115,Yes
Data Science,Information Systems,3.77,304,105,Yes
Cybersecurity,Information Systems,3.72,339,95,No
Electrical Engineering,Electrical Engineering,3.41,314,112,Yes
Human-Centered Computing,Information Systems,3.66,336,115,Yes
Computer Science,Computer Science,3.7,327,114,Yes
Health Information Technology,Information Systems,3.27,307,116,Yes
Cybersecurity,Information Systems,3.88,334,106,No
Environmental Engineering,Civil & Environmental Engineering,3.63,330,120,Yes
Engineering Management,Engineering Management,3.39,319,113,No
Electrical Engineering,Electrical Engineering,3.61,340,90,Yes
Data Science,Information Systems,3.88,315,95,Yes
Environmental Engineering,Civil & Environmental Engineering,3.73,323,107,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.65,317,110,No
Data Science,Information Systems,3.94,331,101,Yes
Health Information Technology,Information Systems,3.25,320,96,No
Electrical Engineering,Electrical Engineering,3.52,335,98,Yes
Electrical Engineering,Electrical Engineering,3.77,339,110,Yes
Human-Centered Computing,Information Systems,3.52,332,113,Yes
Health Information Technology,Information Systems,3.73,313,118,Yes
Human-Centered Computing,Information Systems,3.6,293,107,No
Engineering Management,Engineering Management,3.08,310,106,Yes
Computer Science,Computer Science,3.5,311,120,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.15,334,108,Yes
Cybersecurity,Information Systems,3.53,302,102,No
Computer Science,Computer Science,3.81,299,110,Yes
Environmental Engineering,Civil & Environmental Engineering,3.61,320,111,No
Environmental Engineering,Civil & Environmental Engineering,3.72,302,115,Yes
Health Information Technology,Information Systems,3.18,332,114,Yes
Human-Centered Computing,Information Systems,3.63,291,107,No
Data Science,Information Systems,3.89,314,110,Yes
Health Information Technology,Information Systems,3.92,314,93,Yes
Health Information Technology,Information Systems,3.52,300,119,No
Engineering Management,Engineering Management,3.22,328,119,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.99,290,93,No
Engineering Management,Engineering Management,3.04,324,111,No
Computer Engineering,Computer Science & Electrical Engineering,3.57,317,90,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.41,333,114,No
Environmental Engineering,Civil & Environmental Engineering,3.53,325,119,Yes
Environmental Engineering,Civil & Environmental Engineering,3.54,318,117,Yes
Computer Science,Computer Science,3.55,296,112,No
Health Information Technology,Information Systems,3.13,291,109,No
Human-Centered Computing,Information Systems,3.89,329,113,Yes
Electrical Engineering,Electrical Engineering,3.76,313,105,Yes
Electrical Engineering,Electrical Engineering,3.46,308,92,Yes
Electrical Engineering,Electrical Engineering,3.25,335,118,No
Engineering Management,Engineering Management,3.98,325,94,No
Computer Science,Computer Science,3.7,313,112,Yes
Cybersecurity,Information Systems,3.64,331,115,No
Environmental Engineering,Civil & Environmental Engineering,3.55,296,111,Yes
Cybersecurity,Information Systems,3.81,301,94,Yes
Human-Centered Computing,Information Systems,3.95,317,105,Yes
Electrical Engineering,Electrical Engineering,3.59,296,109,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.82,307,101,Yes
