Student ID,Interests,Career Goals,Matched Courses
1,Chemistry,Computer Engineering,"Chemical & Biochemical Engineering, Cybersecurity"
2,Computer Architecture,Computer Science,"Computer Engineering, Cybersecurity"
3,Computer Architecture,Engineering Management,"Computer Engineering, Cybersecurity"
4,Network Security,Cybersecurity,Cybersecurity
5,Strategic Planning,Information Systems,"Engineering Management, Software Engineering"
6,Pollution Control,Software Engineering,"Environmental Engineering, Computer Engineering"
7,Health Informatics,Computer Science,"Health Information Technology, Computer Science"
8,Algorithms,Human-Centered Computing,"Computer Science, Electrical Engineering"
9,Electronic Health Records,Chemical & Biochemical Engineering,"Health Information Technology, Computer Science"
10,Electronic Health Records,Computer Engineering,"Health Information Technology, Electrical Engineering"
11,Data Mining,Human-Centered Computing,"Data Science, Information Systems"
12,Biochemistry,Data Science,"Chemical & Biochemical Engineering, Information Systems"
13,Health Informatics,Environmental Engineering,"Health Information Technology, Data Science"
14,Electronic Health Records,Human-Centered Computing,"Health Information Technology, Computer Science"
15,Project Management,Computer Science,"Software Engineering, Human-Centered Computing"
16,Healthcare Systems,Data Science,"Health Information Technology, Computer Science"
17,Statistics,Engineering Management,"Data Science, Chemical & Biochemical Engineering"
18,Artificial Intelligence,Computer Engineering,"Computer Science, Human-Centered Computing"
19,Network Security,Information Systems,"Cybersecurity, Health Information Technology"
20,Environmental Science,Environmental Engineering,Environmental Engineering
21,Electronics,Human-Centered Computing,"Electrical Engineering, Engineering Management"
22,VLSI Design,Engineering Management,"Computer Engineering, Chemical & Biochemical Engineering"
23,Control Systems,Computer Science,"Electrical Engineering, Data Science"
24,Chemistry,Health Information Technology,"Chemical & Biochemical Engineering, Computer Science"
25,Leadership,Computer Engineering,"Engineering Management, Information Systems"
26,Electronic Health Records,Software Engineering,"Health Information Technology, Chemical & Biochemical Engineering"
27,Database Management,Human-Centered Computing,"Information Systems, Chemical & Biochemical Engineering"
28,Strategic Planning,Health Information Technology,"Engineering Management, Health Information Technology"
29,Strategic Planning,Electrical Engineering,"Engineering Management, Information Systems"
30,Power Systems,Computer Science,"Electrical Engineering, Software Engineering"
31,Agile Methodologies,Environmental Engineering,"Software Engineering, Electrical Engineering"
32,Biochemistry,Computer Science,"Chemical & Biochemical Engineering, Cybersecurity"
33,Network Security,Chemical & Biochemical Engineering,"Cybersecurity, Electrical Engineering"
34,Agile Methodologies,Computer Science,"Software Engineering, Computer Science"
35,Software Development,Data Science,"Software Engineering, Human-Centered Computing"
36,Cryptography,Chemical & Biochemical Engineering,"Cybersecurity, Data Science"
37,Health Informatics,Software Engineering,"Health Information Technology, Computer Engineering"
38,Ethical Hacking,Engineering Management,"Cybersecurity, Engineering Management"
39,Usability Testing,Software Engineering,"Human-Centered Computing, Software Engineering"
40,Chemistry,Data Science,"Chemical & Biochemical Engineering, Environmental Engineering"
41,Chemistry,Data Science,"Chemical & Biochemical Engineering, Cybersecurity"
42,VLSI Design,Environmental Engineering,"Computer Engineering, Environmental Engineering"
43,Project Management,Data Science,"Software Engineering, Electrical Engineering"
44,Control Systems,Cybersecurity,"Electrical Engineering, Computer Engineering"
45,Embedded Systems,Computer Science,"Computer Engineering, Computer Science"
46,Software Development,Health Information Technology,"Software Engineering, Human-Centered Computing"
47,Biochemistry,Software Engineering,"Chemical & Biochemical Engineering, Data Science"
48,Biochemistry,Human-Centered Computing,"Chemical & Biochemical Engineering, Human-Centered Computing"
49,Ethical Hacking,Computer Engineering,"Cybersecurity, Computer Engineering"
50,Leadership,Environmental Engineering,"Engineering Management, Software Engineering"
51,User Experience Design,Human-Centered Computing,Human-Centered Computing
52,Chemistry,Information Systems,"Chemical & Biochemical Engineering, Human-Centered Computing"
53,Power Systems,Health Information Technology,"Electrical Engineering, Data Science"
54,Data Mining,Environmental Engineering,"Data Science, Health Information Technology"
55,Environmental Science,Data Science,"Environmental Engineering, Chemical & Biochemical Engineering"
56,Ethical Hacking,Human-Centered Computing,"Cybersecurity, Electrical Engineering"
57,Embedded Systems,Software Engineering,"Computer Engineering, Cybersecurity"
58,Algorithms,Data Science,"Computer Science, Health Information Technology"
59,Embedded Systems,Software Engineering,"Computer Engineering, Engineering Management"
60,Computer Architecture,Electrical Engineering,"Computer Engineering, Information Systems"
61,Data Mining,Health Information Technology,"Data Science, Cybersecurity"
62,Power Systems,Information Systems,"Electrical Engineering, Software Engineering"
63,Control Systems,Software Engineering,"Electrical Engineering, Cybersecurity"
64,Environmental Science,Environmental Engineering,Environmental Engineering
65,Health Informatics,Cybersecurity,"Health Information Technology, Cybersecurity"
66,Control Systems,Electrical Engineering,Electrical Engineering
67,Statistics,Cybersecurity,"Data Science, Engineering Management"
68,Pollution Control,Human-Centered Computing,"Environmental Engineering, Health Information Technology"
69,VLSI Design,Cybersecurity,"Computer Engineering, Human-Centered Computing"
70,Chemistry,Software Engineering,"Chemical & Biochemical Engineering, Environmental Engineering"
71,Software Development,Health Information Technology,"Software Engineering, Environmental Engineering"
72,VLSI Design,Health Information Technology,"Computer Engineering, Health Information Technology"
73,Information Security,Engineering Management,"Information Systems, Computer Engineering"
74,Chemistry,Chemical & Biochemical Engineering,Chemical & Biochemical Engineering
75,Database Management,Chemical & Biochemical Engineering,"Information Systems, Computer Engineering"
76,Computer Architecture,Software Engineering,"Computer Engineering, Data Science"
77,Statistics,Data Science,Data Science
78,Pollution Control,Health Information Technology,"Environmental Engineering, Information Systems"
79,Network Security,Cybersecurity,Cybersecurity
80,Chemistry,Computer Engineering,"Chemical & Biochemical Engineering, Software Engineering"
81,Cryptography,Human-Centered Computing,"Cybersecurity, Computer Engineering"
82,Health Informatics,Computer Engineering,"Health Information Technology, Computer Engineering"
83,Process Optimization,Computer Engineering,"Chemical & Biochemical Engineering, Computer Science"
84,Information Security,Computer Engineering,"Information Systems, Chemical & Biochemical Engineering"
85,Computer Architecture,Health Information Technology,"Computer Engineering, Human-Centered Computing"
86,Leadership,Cybersecurity,"Engineering Management, Environmental Engineering"
87,Environmental Science,Information Systems,"Environmental Engineering, Information Systems"
88,Project Management,Information Systems,"Software Engineering, Cybersecurity"
89,User Experience Design,Chemical & Biochemical Engineering,"Human-Centered Computing, Health Information Technology"
90,Power Systems,Environmental Engineering,"Electrical Engineering, Human-Centered Computing"
91,Biochemistry,Human-Centered Computing,"Chemical & Biochemical Engineering, Cybersecurity"
92,Cryptography,Computer Engineering,"Cybersecurity, Computer Science"
93,Sustainability,Data Science,"Environmental Engineering, Engineering Management"
94,Ethical Hacking,Electrical Engineering,"Cybersecurity, Computer Science"
95,Process Optimization,Cybersecurity,"Chemical & Biochemical Engineering, Environmental Engineering"
96,Electronics,Chemical & Biochemical Engineering,"Electrical Engineering, Data Science"
97,Agile Methodologies,Chemical & Biochemical Engineering,"Software Engineering, Data Science"
98,Chemistry,Human-Centered Computing,"Chemical & Biochemical Engineering, Computer Engineering"
